height,block_time,num_txs,marker_present,extended_proposal_bytes,fsm_state,zk_proof_ref_present,other_tx_bytes,likely_recovery_proof_tx
146,2026-08-12T16:44:11.888424801Z,1,True,249,SOVEREIGN,False,0,False
147,2026-08-12T16:44:13.196918885Z,1,True,249,SOVEREIGN,False,0,False
148,2026-08-12T16:44:14.319060261Z,1,True,249,SOVEREIGN,False,0,False
149,2026-08-12T16:44:15.62508397Z,1,True,249,SOVEREIGN,False,0,False
150,2026-08-12T16:44:16.827937637Z,1,True,249,SOVEREIGN,False,0,False
151,2026-08-12T16:44:18.002312179Z,1,True,249,SOVEREIGN,False,0,False
152,2026-08-12T16:44:19.190074638Z,1,True,249,SOVEREIGN,False,0,False
153,2026-08-12T16:44:20.420900333Z,1,True,249,SOVEREIGN,False,0,False
154,2026-08-12T16:44:21.586224417Z,1,True,249,SOVEREIGN,False,0,False
155,2026-08-12T16:44:22.743446459Z,1,True,249,SOVEREIGN,False,0,False
156,2026-08-12T16:44:23.933141418Z,1,True,249,SOVEREIGN,False,0,False
157,2026-08-12T16:44:25.166650668Z,1,True,249,SOVEREIGN,False,0,False
158,2026-08-12T16:44:26.333496336Z,1,True,249,SOVEREIGN,False,0,False
159,2026-08-12T16:44:27.487172211Z,1,True,249,SOVEREIGN,False,0,False
160,2026-08-12T16:44:28.66979392Z,1,True,249,SOVEREIGN,False,0,False
161,2026-08-12T16:44:29.921068379Z,1,True,249,SOVEREIGN,False,0,False
162,2026-08-12T16:44:31.08883288Z,1,True,249,SOVEREIGN,False,0,False
163,2026-08-12T16:44:32.26701713Z,1,True,249,SOVEREIGN,False,0,False
164,2026-08-12T16:44:33.526375631Z,1,True,249,SOVEREIGN,False,0,False
165,2026-08-12T16:44:34.737110381Z,1,True,249,SOVEREIGN,False,0,False
166,2026-08-12T16:44:36.04693334Z,1,True,249,SOVEREIGN,False,0,False
167,2026-08-12T16:44:37.218790549Z,1,True,249,SOVEREIGN,False,0,False
168,2026-08-12T16:44:38.378001133Z,1,True,249,SOVEREIGN,False,0,False
169,2026-08-12T16:44:39.588885384Z,1,True,249,SOVEREIGN,False,0,False
170,2026-08-12T16:44:40.895718718Z,1,True,249,SOVEREIGN,False,0,False
171,2026-08-12T16:44:42.071012927Z,1,True,249,SOVEREIGN,False,0,False
172,2026-08-12T16:44:43.229140385Z,1,True,249,SOVEREIGN,False,0,False
173,2026-08-12T16:44:44.442251553Z,1,True,249,SOVEREIGN,False,0,False
174,2026-08-12T16:44:45.746207178Z,1,True,249,SOVEREIGN,False,0,False
175,2026-08-12T16:44:47.029696971Z,1,True,249,SOVEREIGN,False,0,False
176,2026-08-12T16:44:48.344404638Z,1,True,249,SOVEREIGN,False,0,False
177,2026-08-12T16:44:49.66184368Z,1,True,249,SOVEREIGN,False,0,False
178,2026-08-12T16:44:50.970406541Z,1,True,249,SOVEREIGN,False,0,False
179,2026-08-12T16:44:52.28645475Z,1,True,249,SOVEREIGN,False,0,False
180,2026-08-12T16:44:53.604313001Z,1,True,249,SOVEREIGN,False,0,False
181,2026-08-12T16:44:54.913989252Z,1,True,249,SOVEREIGN,False,0,False
182,2026-08-12T16:44:56.233334711Z,1,True,249,SOVEREIGN,False,0,False
183,2026-08-12T16:44:57.536127086Z,1,True,249,SOVEREIGN,False,0,False
184,2026-08-12T16:44:58.859296004Z,1,True,249,SOVEREIGN,False,0,False
185,2026-08-12T16:45:00.190242921Z,1,True,249,SOVEREIGN,False,0,False
186,2026-08-12T16:45:01.503506755Z,1,True,249,SOVEREIGN,False,0,False
187,2026-08-12T16:45:02.818656464Z,1,True,249,SOVEREIGN,False,0,False
188,2026-08-12T16:45:04.139049506Z,1,True,249,SOVEREIGN,False,0,False
189,2026-08-12T16:45:05.542173548Z,1,True,249,RECOVERING,False,0,False
190,2026-08-12T16:45:06.859696174Z,1,True,249,RECOVERING,False,0,False
